ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
1011	व्रीहिषु कः श्रेष्ठः?	 कृष्णव्रीहि		कृष्णव्रीहि:	1	(:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_BEST_AMONG]-({'lemma': कृष्णव्रीहि}); (:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_TYPE_OF]-({'lemma': कृष्णव्रीहि}); (:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_TYPE_OF]-({'lemma': जतुमुख}); (:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_TYPE_OF]-({'lemma': शालामुख})	कृष्णव्रीहिः	1	(:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_BEST_AMONG]-({'lemma': कृष्णव्रीहि}); (:Vriihi_dhanya {'lemma': व्रीहि})-[:IS_SYNONYM_OF]->({'lemma': व्रीहिधान्य}); (:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_KARMA_OF]-({'lemma': अभिष्यन्दिन्})	कृष्णव्रीहिः	1	(:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_BEST_AMONG]-({'lemma': कृष्णव्रीहि}); (:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_TYPE_OF]-({'lemma': कृष्णव्रीहि}); (:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_TYPE_OF]-({'lemma': जतुमुख}); (:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_TYPE_OF]-({'lemma': शालामुख})
1012	वार्षिकस्य व्रीहेः वर्णः कः? 	शुक्लः		श्वेतः	1		वार्षिकस्य व्रीहेः वर्णः कङ्कुष्ठः	1	(:Vriihi_dhanya {'lemma': व्रीहि})-[:IS_SYNONYM_OF]->({'lemma': व्रीहिधान्य}); (:Shaariira_kriyaabhaava_pob {'lemma': वर्ण})-[:IS_CAUSED_BY]->({'lemma': यव}); (:Shaariira_kriyaabhaava_pob {'lemma': वर्ण})-[:IS_CAUSED_BY]->({'lemma': कङ्कुष्ठ})	शुक्ले	1	(:Vriihi_dhanya {'lemma': वार्षिकव्रीहि})<-[:IS_VARNA_PROPERTY_OF]-({'lemma': शुक्ल}); (:Vriihi_dhanya {'lemma': वार्षिकव्रीहि})<-[:IS_TIME_OF]-({'lemma': वर्षा})
1013	व्रीहेः विपाकः कः ? 	मधुर	अम्ल / कटु / मधुर / उष्ण	मधुरः	1	(:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': मधुर})	मधुरः	1	(:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': मधुर}); (:Vipaaka_property {'lemma': अम्ल})-[:IS_VIPAAKA_PROPERTY_OF]->({'lemma': दधि}); (:Vipaaka_property {'lemma': अम्ल})-[:IS_VIPAAKA_PROPERTY_OF]->({'lemma': दधि}); (:Vipaaka_property {'lemma': अम्ल})-[:IS_VIPAAKA_PROPERTY_OF]->({'lemma': दधि}); (:Vipaaka_property {'lemma': अम्ल})-[:IS_VIPAAKA_PROPERTY_OF]->({'lemma': दधि})	मधुरः	1	(:Vriihi_dhanya {'lemma': व्रीहि})<-[:IS_VIPAAKA_PROPERTY_OF]-({'lemma': मधुर})
1014	सर्षपस्य प्रभावः कः? 	रक्षोहर	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	मंगलकर	1		ग्रहहर	1	(:Shimbii_dhanya {'lemma': सर्षप})<-[:IS_CURED_BY]-({'lemma': ग्रह}); (:Shimbii_dhanya {'lemma': सर्षप})<-[:IS_CURED_BY]-({'lemma': कोष्ठकृमि}); (:Shimbii_dhanya {'lemma': सर्षप})<-[:IS_CURED_BY]-({'lemma': कण्डु})	उत्तरम्: रक्षोहरः	1	(:Shimbii_dhanya {'lemma': सर्षप})<-[:IS_BAAHYA_PRABHAAVA_PROPERTY_OF]-({'lemma': रक्षस्}); (:Baahya_prabhaava_property {'lemma': अलक्ष्मीहर})-[:IS_BAAHYA_PRABHAAVA_PROPERTY_OF]->({'lemma': कुन्दुरु})
1015	दधेः वीर्यगुणः कः?	उष्णः		वीर्यवर्धकः	1		उष्णः	1	(:Dadhi {'lemma': दधि})<-[:IS_VIIRYA_PROPERTY_OF]-({'lemma': उष्ण}); (:Dadhi {'lemma': दधि})<-[:IS_VIIRYA_PROPERTY_OF]-({'lemma': उष्ण})	शुक्रवर्धकम्	1	(:Dadhi {'lemma': दधि})<-[:IS_INCREASED_BY]-({'lemma': शुक्र}); (:Dadhi {'lemma': दधि})<-[:IS_INCREASED_BY]-({'lemma': शुक्र}); (:Dadhi {'lemma': दधि})<-[:IS_INCREASED_BY]-({'lemma': बल}); (:Dadhi {'lemma': दधि})<-[:IS_INCREASED_BY]-({'lemma': बल}); (:Dadhi {'lemma': दधि})<-[:IS_INCREASED_BY]-({'lemma': वह्नि}); (:Dadhi {'lemma': दधि})<-[:IS_INCREASED_BY]-({'lemma': वह्नि})
1016	कः रसः हरितक्याम् नास्ति ? 	लवणः		लवणः	1		पारदः	1	(:Rasa {'lemma': रस})-[:IS_SYNONYM_OF]->({'lemma': पारद}); (:Rasa {'lemma': रस})-[:IS_SYNONYM_OF]->({'lemma': पारद}); (:Rasa {'lemma': रस})<-[:IS_VARIANT_OF]-({'lemma': मूर्च्छित-रस}); (:Rasa {'lemma': रस})<-[:IS_VARIANT_OF]-({'lemma': मूर्च्छित-रस}); (:Rasa {'lemma': रस})<-[:IS_VARIANT_OF]-({'lemma': कामित-रस}); (:Rasa {'lemma': रस})<-[:IS_VARIANT_OF]-({'lemma': कामित-रस})	"उत्तरम्: लवणे

हरितक्याम् पञ्च रसाः भवन्ति - मधुरः, अम्लः, तिक्तः, कटुः, कषायः च लवणरसः एव हरितक्याम् न विद्यते अतः लवणे इति एकपदेन उत्तरं दातुं शक्यते"	1	
1017	लौहधातोः कति दोषाः उक्ता? 	 ७		त्रयः	1		लौहधातोः त्रयः दोषाः उक्ताः	1		"उत्तरम्: पञ्च

लौहधातोः पञ्च दोषाः आयुर्वेदे उक्ताः सन्ति एतत् उत्तरं लघु रूपेण एकेनैव पदेन दत्तम्, यथा प्रश्ने अपेक्षितम्"	1	
1018	हरीतक्याः रसाः कतिपयः ? 	पञ्च		षट्	1		हरीतक्याः रसाः पञ्च	1	(:Substance {'lemma': हरीतकी})<-[:IS_LAGHU_GURU_GUNA_OF]-({'lemma': लघु}); (:Substance {'lemma': हरीतकी})-[:HAS_SAME_PROPERTY_AS]->({'lemma': आमलकी}); (:Substance {'lemma': हरीतकी})<-[:IS_KARMA_OF]-({'lemma': अनुलोमन})	मधुरः, कषायः, तिक्तः	1	(:Substance {'lemma': हरीतकी})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर}); (:Substance {'lemma': हरीतकी})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कषाय}); (:Substance {'lemma': हरीतकी})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तिक्त})
1019	धान्यकस्य रसाः कतिपयः 	द्वे		तुवर, तिक्त, कटु	1	(:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तुवर}); (:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तिक्त}); (:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कटु})	धान्यकस्य रसाः त्रयः	1	(:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तुवर}); (:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तिक्त}); (:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कटु})	तुवरः, तिक्तः, कटुः	1	(:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तुवर}); (:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तिक्त}); (:Substance {'lemma': धान्यक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कटु})
1020	अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	पायसः	1	(:Prepared_substance {'lemma': क्षीरिका})-[:IS_SYNONYM_OF]->({'lemma': पायस}); (:Prepared_substance {'lemma': पायस})<-[:IS_SYNONYM_OF]-({'lemma': क्षीरिका})	ओदनस्य	1	(:Prepared_substance {'lemma': ओदन})-[:IS_SYNONYM_OF]->({'lemma': भक्त}); (:Prepared_substance {'lemma': क्षीरिका})-[:IS_SYNONYM_OF]->({'lemma': पायस}); (:Prepared_substance {'lemma': क्षीरिका})-[:IS_TYPE_OF]->({'lemma': कृतान्न})	पायसस्य	1	(:Prepared_substance {'lemma': पायस})-[:IS_TYPE_OF]->({'lemma': कृतान्न}); (:Prepared_substance {'lemma': नारिकेरक्षीरी})-[:IS_TYPE_OF]->({'lemma': कृतान्न})
1021	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन	ओदन / दालि / सूप / पोलिका	दालि	1	(:Prepared_substance {'lemma': दाली})-[:IS_SYNONYM_OF]->({'lemma': दालि})	ओदन	1	(:Prepared_substance {'lemma': ओदन})-[:IS_SYNONYM_OF]->({'lemma': भक्त}); (:Prepared_substance {'lemma': दाली})-[:IS_SYNONYM_OF]->({'lemma': दालि}); (:Prepared_substance {'lemma': दाली})-[:IS_OUTPUT_OF_DAALANA_SANSKAARA_ON]->({'lemma': शमीधान्य})	"उत्तरम्: ओदने

सुधौतः तण्डुलः (धोया हुआ चावल) ओदनस्य (भात/चावल) मुख्यघटकः भवति अन्येषु विकल्पेषु (दालि, सूप, पोलिका) तण्डुलः प्रमुखघटकरूपेण न प्रयुज्यते"	1	
1022	क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	क्षीरम्	1		क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्, क्षीरम्	1	(:Prepared_substance {'lemma': क्षीरिका})-[:IS_TYPE_OF]->({'lemma': कृतान्न}); (:Prepared_substance {'lemma': क्षीरिका})-[:IS_OUTPUT_OF_PAACHANA_SANSKAARA_ON]->({'lemma': सिता-आज्य-युक्त-पक्व-घृत-अक्त-तण्डुलयुक्त-अर्द्धपक्व-शुद्धदुग्ध}); (:Prepared_substance {'lemma': क्षीरिका})-[:IS_SYNONYM_OF]->({'lemma': पायस})	क्षीरम्	1	(:Dugdha {'lemma': दुग्ध})-[:IS_TYPE_OF]->({'lemma': दुग्ध}); (:Dugdha {'lemma': दुग्ध})<-[:IS_TYPE_OF]-({'lemma': दुग्ध}); (:Dugdha {'lemma': दुग्ध})-[:IS_TYPE_OF]->({'lemma': दुग्ध}); (:Dugdha {'lemma': दुग्ध})<-[:IS_TYPE_OF]-({'lemma': दुग्ध})
1023	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	अङ्गारभर्जनम्	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	अङ्गारभर्जनम्	1		अङ्गारभृष्टचणकः अङ्गारभर्जनेन उत्पद्यते	1	(:Karma {'lemma': पाचन})-[:IS_KARMA_OF]->({'lemma': शुण्ठी}); (:Karma {'lemma': पाचन})-[:IS_KARMA_OF]->({'lemma': पारसीकयवानी}); (:Karma {'lemma': पाचन})-[:IS_KARMA_OF]->({'lemma': राज्यक्तायुक्त-आर्द्रवटक})	उत्तरम्: अङ्गारभर्जनेन	1	
