id	question_id	answer	text	chapter	chapter_id	verse_id	well_formed	question	option_1	option_2	option_3	option_4	options
14	156	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	44	1	शुण्ठी निम्न में से किसका पर्याय है	(क.) विश्वा	(ख.) महौषध	(ग.) श्रृंगवेर	(घ.) सभी	(क.) विश्वा (ख.) महौषध (ग.) श्रृंगवेर (घ.) सभी
15	157	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	54	1	पिप्पली निम्न में से किसका पर्याय है	(क.) कणा	(ख.) वैदेही	(ग.) तीक्ष्णतण्डुला	(घ.) सभी	(क.) कणा (ख.) वैदेही (ग.) तीक्ष्णतण्डुला (घ.) सभी
16	158	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	54	1	पिप्पली निम्न में से किसका पर्याय है	(क.) मागधी	(ख.) कृष्णा	(ग.) चपला	(घ.) सभी	(क.) मागधी (ख.) कृष्णा (ग.) चपला (घ.) सभी
17	159	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	59	1	मरिच निम्न में से किसका पर्याय है	(क.) कृष्ण	(ख.) धर्मपतन	(ग.) वेल्लज	(घ.) सभी	(क.) कृष्ण (ख.) धर्मपतन (ग.) वेल्लज (घ.) सभी
18	160	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	55	1	मरिच निम्न में से किसका पर्याय नहीं है	(क.) कृष्णा	(ख.) ऊषण	(ग.) कृष्ण	(घ.) वेल्लज	(क.) कृष्णा (ख.) ऊषण (ग.) कृष्ण (घ.) वेल्लज
19	161	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	62	1	व्योष निम्न में से किसका पर्याय है	(क.) त्रिकटु	(ख.) त्रयूषण	(ग.) कटुत्रिक	(घ.) सभी	(क.) त्रिकटु (ख.) त्रयूषण (ग.) कटुत्रिक (घ.) सभी
20	162	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	64	1	चटकाशिर निम्न में से किसका पर्याय है	(क.) शुण्ठी	(ख.) काकानासा	(ग.) पिप्लीमूल	(घ.) भल्लातक	(क.) शुण्ठी (ख.) काकानासा (ग.) पिप्लीमूल (घ.) भल्लातक
21	163	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	66	0	चतुरूषण में होता है	(क.) चव्य	(ख.) चित्रक	(ग.) पिप्लीमूल	(घ.) विभीतक	(क.) चव्य (ख.) चित्रक (ग.) पिप्लीमूल (घ.) विभीतक
22	164	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	68	0	गजपिपली है	(क.) कपिवल्ली	(ख.) कोलवल्ली	(ग.) श्रेयसी	(घ.) सभी	(क.) कपिवल्ली (ख.) कोलवल्ली (ग.) श्रेयसी (घ.) सभी
23	165	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	59,70	0	 ऊषण पर्याय है	(क.) चित्रक का	(ख.) मरिच का	(ग.) शुण्ठी का	(घ.) क और ख	(क.) चित्रक का (ख.) मरिच का (ग.) शुण्ठी का (घ.) क और ख
24	166	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	72	0	पंचकोल में नहीं है	(क.) सोंठ	(ख.) मरिच	(ग.) पिप्पली	(घ.) पिप्पली मूल	(क.) सोंठ (ख.) मरिच (ग.) पिप्पली (घ.) पिप्पली मूल
25	167	घ	भावप्रकाशनिघण्टु	हरीतक्यादि			0	हरीतक्यादि वर्ग में वर्णित है	(क.) त्रिफला	(ख.) त्रिकटु	(ग.) पंचकोल	(घ.) सभी	(क.) त्रिफला (ख.) त्रिकटु (ग.) पंचकोल (घ.) सभी
26	168	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	75	0	यवानी के र्प्याय है	(क.) उग्रगंधा	(ख.) ब्रह्मदर्भा	(ग.) अजमोदिका	(घ.) सभी	(क.) उग्रगंधा (ख.) ब्रह्मदर्भा (ग.) अजमोदिका (घ.) सभी
27	169	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	78,79	1	अजमोदा निम्न में से किसका पर्याय है	(क.) खराश्वा	(ख.) मायूरो	(ग.) ब्रह्मकुशा	(घ.) सभी	(क.) खराश्वा (ख.) मायूरो (ग.) ब्रह्मकुशा (घ.) सभी
28	170	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	81	0	जीरक का प्रकार नहीं है	(क.) शुक्ल जीरक	(ख.) उदगार शोधन	(ग.) कलौंजी	(घ.) यवानी	(क.) शुक्ल जीरक (ख.) उदगार शोधन (ग.) कलौंजी (घ.) यवानी
29	171	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	86	1	कुस्तुम्बरू निम्न में से किसका पर्याय है	(क.) धान्यक	(ख.) जीरक	(ग.) यवानी	(घ.) अजमोदा	(क.) धान्यक (ख.) जीरक (ग.) यवानी (घ.) अजमोदा
30	172	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	93	1	मेथी निम्न में से किसका पर्याय है	(क.) बहुपत्रिका	(ख.) बहुबीजा	(ग.) बहुपर्णी	(घ.) सभी	(क.) बहुपत्रिका (ख.) बहुबीजा (ग.) बहुपर्णी (घ.) सभी
31	173	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	94	1	मेथी निम्न में से किसका पर्याय है	(क.) ज्योति	(ख.) पीतबीजा	(ग.) मुनिच्छदा	(घ.) सभी	(क.) ज्योति (ख.) पीतबीजा (ग.) मुनिच्छदा (घ.) सभी
32	174	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	96	1	पशुमेहनकारिका निम्न में से किसका पर्याय है	(क.) मेथिका	(ख.) जीरक	(ग.) चन्द्रशूर	(घ.) अजमोदा	(क.) मेथिका (ख.) जीरक (ग.) चन्द्रशूर (घ.) अजमोदा
33	175	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	100	1	हींग निम्न में से किसका पर्याय नहीं है	(क.) सहस्रवेधि	(ख.) रामठ	(ग.) वाहलीक	(घ.) कोई नहीं	(क.) सहस्रवेधि (ख.) रामठ (ग.) वाहलीक (घ.) कोई नहीं
34	176	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	103	0	उग्रगंधा पर्याय है	क वचा का	व प्लाण्डु का	(ग.) यवानी का	(घ.) क और ख	क वचा का व प्लाण्डु का (ग.) यवानी का (घ.) क और ख
35	177	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	102	0	वचा है	(क.) षड्ग्रन्था	(ख.) शतपर्विका	(ग.) क्षुद्रपत्री	(घ.) सभी	(क.) षड्ग्रन्था (ख.) शतपर्विका (ग.) क्षुद्रपत्री (घ.) सभी
36	178	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	102	1	चोपचीनी का वर्णन भावप्रकाश ने किस वर्ग में किया है	(क.) कर्पूरादि वर्ग	(ख.) गुडूच्यादि वर्ग	(ग.) हरीतक्यादि वर्ग	(घ.) पुष्प वर्ग	(क.) कर्पूरादि वर्ग (ख.) गुडूच्यादि वर्ग (ग.) हरीतक्यादि वर्ग (घ.) पुष्प वर्ग
37	179	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	111	1	वायविडङ्ग निम्न में से किसका पर्याय है	(क.) कृमिघ्न	(ख.) चित्रतण्डुल	(ग.) जन्तुनाशन	(घ.) सभी	(क.) कृमिघ्न (ख.) चित्रतण्डुल (ग.) जन्तुनाशन (घ.) सभी
38	180	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	117	1	 तुगाक्षिरी निम्न में से किसका पर्याय है	(क.) वंशलोचन	(ख.) वायविहङग	(ग.) द्वीपांतर बचा	(घ.) लवंग	(क.) वंशलोचन (ख.) वायविहङग (ग.) द्वीपांतर बचा (घ.) लवंग
39	181	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	145	1	क्लोतनक निम्न में से किसका पर्याय है	(क.) हरिद्रा	(ख.) यष्टीमधु	(ग.) मधुक	(घ.) सारिवा	(क.) हरिद्रा (ख.) यष्टीमधु (ग.) मधुक (घ.) सारिवा
40	182	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	147	1	आरंगवध निम्न में से किसका पर्याय नहीं है	(क.) शम्पाक	(ख.) व्याधिधात	(ग.) रोचन	(घ.) कर्णिकार	(क.) शम्पाक (ख.) व्याधिधात (ग.) रोचन (घ.) कर्णिकार
41	183	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	151	1	 कुटकी निम्न में से किसका पर्याय है	(क.) कृष्णभेदा	(ख.) करम्भरा	(ग.) शुक्लादनी	(घ.) सभी	(क.) कृष्णभेदा (ख.) करम्भरा (ग.) शुक्लादनी (घ.) सभी
42	184	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	152	1	मत्स्यपित्ता निम्न में से किसका पर्याय है	(क.) कुटकी	(ख.) मधुयष्टि	(ग.) आरग्वध	(घ.) मण्डूकी	(क.) कुटकी (ख.) मधुयष्टि (ग.) आरग्वध (घ.) मण्डूकी
43	185	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	153	1	 किराततिक्त निम्न में से किसका पर्याय है	(क.) कटुरोहिणी	(ख.) तिक्ता	(ग.) कटुका	(घ.) काण्डतिक्त	(क.) कटुरोहिणी (ख.) तिक्ता (ग.) कटुका (घ.) काण्डतिक्त
44	186	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	161	1	 विषपुष्पक निम्न में से किसका पर्याय है	(क.) मदनफल	(ख.) अर्क	(ग.) लाङगली	(घ.) करवीर	(क.) मदनफल (ख.) अर्क (ग.) लाङगली (घ.) करवीर
45	187	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	160	1	 मदनफल निम्न में से किसका पर्याय है	(क.) छर्दन	(ख.) नट	(ग.) शल्यक	(घ.) सभी	(क.) छर्दन (ख.) नट (ग.) शल्यक (घ.) सभी
46	188	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	162	1	रास्ना निम्न में से किसका पर्याय नहीं है	(क.) युक्तरसा	(ख.) एलापर्णी	(ग.) श्रेयसी	(घ.) रामसेनक	(क.) युक्तरसा (ख.) एलापर्णी (ग.) श्रेयसी (घ.) रामसेनक
47	189	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	162	0	 रास्त्रा का वर्णन भाव प्रकाश ने किस वर्ग में किया है	(क.) हरीतक्यादि	(ख.) गुडूच्यादि	(ख.) शूकहर	(घ.) कर्पूरादि वर्ग	(क.) हरीतक्यादि (ख.) गुडूच्यादि (ख.) शूकहर (घ.) कर्पूरादि वर्ग
48	190	क		हरीतक्यादि			1	पारावतपदी निम्न में से किसका पर्याय है	(क.) मालकांगनी	(ख.) रास्ना	(ग.) गुडुची	(घ.) ब्रह्मी	(क.) मालकांगनी (ख.) रास्ना (ग.) गुडुची (घ.) ब्रह्मी
49	191	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	176	1	 चोक किस द्रव्य की मूल को कहते है	(क.) शालपर्णी	(ख.) कुटज	(ग.) सत्यानाशी	(घ.) वचा	(क.) शालपर्णी (ख.) कुटज (ग.) सत्यानाशी (घ.) वचा
50	192	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	178		 कुलीरविषाणिका है	(क.) कर्कटश्रृंगी	(ख.) रास्ना	(ग.) हैमवती	(घ.) ज्योतिषमती	(क.) कर्कटश्रृंगी (ख.) रास्ना (ग.) हैमवती (घ.) ज्योतिषमती
51	193	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	183	1	 ब्राह्मणयष्टिका निम्न में से किसका पर्याय है	(क.) यष्टीमधु	(ख.) धातकी	(ग.) भारङगी	(घ.) कायफल	(क.) यष्टीमधु (ख.) धातकी (ग.) भारङगी (घ.) कायफल
52	194	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	187	1	 कट्फल निम्न में से किसका पर्याय नहीं है	(क.) कैटर्य	(ख.) अङगारवल्ली	(ग.) श्रीपर्णिका	(घ.) भद्रवती	(क.) कैटर्य (ख.) अङगारवल्ली (ग.) श्रीपर्णिका (घ.) भद्रवती
53	195	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	182	1	धातकी निम्न में से किसका पर्याय नहीं है	(क.) ताम्रपुष्पी	(ख.) कुन्जरा	(ग.) भद्रा	(घ.) बह्मिज्वाला	(क.) ताम्रपुष्पी (ख.) कुन्जरा (ग.) भद्रा (घ.) बह्मिज्वाला
54	196	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	188	1	 भावप्रकाश के अनुसार मण्डूकपर्णी निम्न में से किसका पर्याय है	(क.) मण्डूकी	(ख.) ब्रहमी	(ग.) मन्जिष्ठा	(घ.) क और ख	(क.) मण्डूकी (ख.) ब्रहमी (ग.) मन्जिष्ठा (घ.) क और ख
55	197	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	188	1	मञ्जिष्ठा निम्न में से किसका पर्याय नहीं है	(ख.) मण्डूकपर्णी	(क.) योजनवल्ली	(ग.) रक्तयष्ठिका	(घ.) भद्रवती	(ख.) मण्डूकपर्णी (क.) योजनवल्ली (ग.) रक्तयष्ठिका (घ.) भद्रवती
56	198	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	195	1	 विशेषाद्वयङ्गनाशनः निम्न में से किसका कर्म है	(क.) अलक्तक	(ख.) शाल्मली	(ग.) मधुयष्ठि	(घ.) नीम	(क.) अलक्तक (ख.) शाल्मली (ग.) मधुयष्ठि (घ.) नीम
57	199	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	194	1	पलङ्कषा निम्न में से किसका पर्याय है	(क.) मण्डूकपर्णी	(ख.) लाक्षा	(ग.) गुगुल	(घ.) बह्मी	(क.) मण्डूकपर्णी (ख.) लाक्षा (ग.) गुगुल (घ.) बह्मी
58	200	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	196	1	हरिद्रा निम्न में से किसका पर्याय नहीं है	(क.) निशाऽऽख्या	(ख.) योषितप्रिया	(ग.) हटविलासनी	(घ.) भद्रा	(क.) निशाऽऽख्या (ख.) योषितप्रिया (ग.) हटविलासनी (घ.) भद्रा
59	201	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	197	1	 हरिद्रा निम्न में से किसका पर्याय है	(क.) काच्चनी	(ख.) पीता	(ग.) वरवर्णिनी	(घ.) सभी	(क.) काच्चनी (ख.) पीता (ग.) वरवर्णिनी (घ.) सभी
60	202	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	198	1	कर्पूर हरिद्रा की गन्ध किसके समान होती है	(क.) आम्र	(ख.) कर्पूर	(ग.) एला	(घ.) रसोन	(क.) आम्र (ख.) कर्पूर (ग.) एला (घ.) रसोन
61	203	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	198	1	सुरभी दारू निम्न में से किसका पर्यायं है	(क.) दारूहल्दी	(ख.) हरिद्रा	(ग.) कर्पूरहरिद्रा	(घ.) तेजोहवा	(क.) दारूहल्दी (ख.) हरिद्रा (ग.) कर्पूरहरिद्रा (घ.) तेजोहवा
62	204	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	200	1	कुष्ठवातस्त्रनाशन निम्न में से किसका गुण है	(क.) कर्पूरहरिद्रा	(ख.) हरिद्रा	(ग.) अरण्य हरिद्रा	(घ.) दारूहल्दी	(क.) कर्पूरहरिद्रा (ख.) हरिद्रा (ग.) अरण्य हरिद्रा (घ.) दारूहल्दी
63	205	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	201	1	दारूहल्दी निम्न में से किसका पर्याय है	(क.) पर्जन्या	(ख.) कटङकटेरी	(ग.) पचम्पचा	(घ.) सभी	(क.) पर्जन्या (ख.) कटङकटेरी (ग.) पचम्पचा (घ.) सभी
64	206	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	202	1	"निशागुणा किन्तु नेत्र कर्णास्यरोगानुत" किसके बारे में कहा गया है	(क.) हरिद्रा	(ख.) दारूहरिद्रा	(ग.) अरण्य हरिद्रा	(घ.) कर्पूर हरिद्रा	(क.) हरिद्रा (ख.) दारूहरिद्रा (ग.) अरण्य हरिद्रा (घ.) कर्पूर हरिद्रा
65	207	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	203	1	"...... तत् नेत्रयों परम् हितम्।" किसके बारे में कहा गया है	(क.) मुदग (मूंग)	(ख.) रसांजन	(ग.) गाजर	(घ.) आमलकी	(क.) मुदग (मूंग) (ख.) रसांजन (ग.) गाजर (घ.) आमलकी
66	208	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	204	1	तार्थ्यशैल, रसगर्भ व तार्क्ष्यज किसके पर्याय है	(क.) रसांजन	(ख.) हरिद्रा	(ग.) शिलाजीत	(घ.) मुक्ताशुक्ति	(क.) रसांजन (ख.) हरिद्रा (ग.) शिलाजीत (घ.) मुक्ताशुक्ति
67	209	घ		हरीतक्यादि			1	बाकुची निम्न में से किसका पर्याय है-	(क.) सोमराजी	(ख.) कालमेषी	(ग.) शशिलेखा	(घ.) सभी	(क.) सोमराजी (ख.) कालमेषी (ग.) शशिलेखा (घ.) सभी
68	210	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	1,81,206	1	बाकुची निम्न में से किसका पर्याय नहीं है-	(क.) पूतिफली	(ख.) कालमेषी	(ग.) भद्रवती	(घ.) अवल्गुज	(क.) पूतिफली (ख.) कालमेषी (ग.) भद्रवती (घ.) अवल्गुज
69	211	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	210	1	मेषलोचन निम्न में से किसका पयार्य है	(क.) कुचला	(ख.) चक्रमर्द	(ग.) कासमर्द	(घ.) मेषश्रंृगी	(क.) कुचला (ख.) चक्रमर्द (ग.) कासमर्द (घ.) मेषश्रंृगी
70	212	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	210, 211	1	चक्रमर्द निम्न में से किसका पर्याय है	(क.) प्रपुन्नाट	(ख.) द्रद्रुघ्न	(ग.) एडगज	(घ.) सभी	(क.) प्रपुन्नाट (ख.) द्रद्रुघ्न (ग.) एडगज (घ.) सभी
71	213	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	212	1	अतिविषा निम्न में से किसका पर्याय नहीं हैं	(क.) विश्वा	(ख.) शुक्लकंदा	(ग.) घुणवल्लभा	(घ.) सोमराजी	(क.) विश्वा (ख.) शुक्लकंदा (ग.) घुणवल्लभा (घ.) सोमराजी
72	214	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	213	1	अतिविषा निम्न में से किसका पर्याय है	(क.) श्रृंगी	(ख.) अरूणा	(ग.) भंगुरा	(घ.) सभी	(क.) श्रृंगी (ख.) अरूणा (ग.) भंगुरा (घ.) सभी
73	215	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	215	1	भावप्रकाश ने लोध्र के कितने प्रकार बताए है	(क.) 2	(ख.) 3	(ग.) 4	(घ.) 1	(क.) 2 (ख.) 3 (ग.) 4 (घ.) 1
74	216	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	215	1	स्थूलवल्कल निम्न में से किसका पर्याय है	(क.) अर्जुन	(ख.) खदिर	(ग.) लोध्र	(घ.) पीपल	(क.) अर्जुन (ख.) खदिर (ग.) लोध्र (घ.) पीपल
75	217	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	216	1	जीर्णपत्र बृहतपत्र, क्रमुक, लाक्षाप्रसादन किसके पर्याय है	(क.) शावर लोध्र	(ख.) पट्टिका लोध्र	(ग.) कुटज	(घ.) एला	(क.) शावर लोध्र (ख.) पट्टिका लोध्र (ग.) कुटज (घ.) एला
76	218	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	217	1	 लहसुन निम्न में से किसका पर्याय है	(क.) उग्रगन्ध	(ख.) महौषध	(ग.) म्लेच्छकन्द	(घ.) सभी	(क.) उग्रगन्ध (ख.) महौषध (ग.) म्लेच्छकन्द (घ.) सभी
77	219	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	219	1	 लहसुन में कौन-सा रस नही होता	(क.) मधुर	(ख.) अम्ल	(ग.) लवण	(घ.) कषाय	(क.) मधुर (ख.) अम्ल (ग.) लवण (घ.) कषाय
78	220	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1	224	0	लहसुन सेवन करने वाले के लिए हितकर होता है	(क.) दूध	(ख.) गुड	(ग.) मांस	(घ.) व्यायाम	(क.) दूध (ख.) गुड (ग.) मांस (घ.) व्यायाम
79	221	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	225	0	लहसुन सेवन के साथ अहितकर है।	(क.) मद्य	(ख.) अम्लरस	(ग.) मांस	(घ.) गुड	(क.) मद्य (ख.) अम्लरस (ग.) मांस (घ.) गुड
80	222	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	225	0	रसोन सदृश गुण वाला होता है	(क.) प्लाण्डु	(ख.) शुण्ठी	(ग.) एला	(घ.) धान्यक	(क.) प्लाण्डु (ख.) शुण्ठी (ग.) एला (घ.) धान्यक
81	223	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	226	1	 पलाण्डु निम्न में से किसका पर्याय है	(क.) यवनेष्ट	(ख.) अरिष्ट	(ग.) उग्रगंध	(घ.) रसोनक	(क.) यवनेष्ट (ख.) अरिष्ट (ग.) उग्रगंध (घ.) रसोनक
82	224	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	226	1	पलाण्डु निम्न में से किसका पर्याय है	(क.) मुखदूषक	(ख.) दुर्गन्ध	(ग.) यवनेष्ट	(घ.) सभी	(क.) मुखदूषक (ख.) दुर्गन्ध (ग.) यवनेष्ट (घ.) सभी
83	225	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	229	1	अरूष्कर निम्न में से किसका पर्याय है	(क.) चित्रक	(ख.) भिलावा	(ग.) दन्ती	(घ.) मंजिष्ठा	(क.) चित्रक (ख.) भिलावा (ग.) दन्ती (घ.) मंजिष्ठा
84	226	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	229	1	अग्निमुखी  क्षीरवृक्ष एवं शोफकृत किसके पर्याय है	(क.) चित्रक	(ख.) भल्लातक	(ग.)कुटज	(घ.)पलाश	(क.) चित्रक (ख.) भल्लातक (ग.)कुटज (घ.)पलाश
85	227	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	231	1	भल्लातक का कौन सा भाग बालों के लिए हितकर (केश्य) होता है	(क.) मूल	(ख.) फल	(ग.) मज्जा	(घ.)वृन्त	(क.) मूल (ख.) फल (ग.) मज्जा (घ.)वृन्त
86	228	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	234	1	मोहमदवाग्वहनिवर्धिनि निम्न में से किसका गुण है	(क.) मद्य	(ख.) भंगा	(ग.) अफीम	(घ.) धतूरा	(क.) मद्य (ख.) भंगा (ग.) अफीम (घ.) धतूरा
87	229	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	238	2	अफीम का वर्णन किस ग्रन्थ में मिलता है	(क.) वाग्भट्ट	(ख.) शार्डगधर	(ग.) भावप्रकाश	(घ.) क और ख	(क.) वाग्भट्ट (ख.) शार्डगधर (ग.) भावप्रकाश (घ.) क और ख
88	230	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	238	1	पोस्त के किस भाग से अफीम बनता है	(क.) फल के दूध से	 ख. फल की छाल से	(ग.) मूल से	(घ.) पत्र से	(क.) फल के दूध से  ख. फल की छाल से (ग.) मूल से (घ.) पत्र से
89	231	क	भावप्रकाशनिघण्टु	हरीतक्यादि	1	239	0	खाखसतिल है	(क.) खसबीज	(ख.) खसफल	(ग.) खसमूल	(घ.) खसपुष्प	(क.) खसबीज (ख.) खसफल (ग.) खसमूल (घ.) खसपुष्प
