sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
mahābalaḥ rājā rāvaṇaḥ sarvāsāṃ priyāṃ mahābhāgāṃ ca bahumatāṃ bhāryā tyaktvā tvām upaiṣyati	O O B-ASURA O O O O O O O O O	11	{'B-HUMAN': ['rājā', 'rāvaṇaḥ'], 'B-ASURA': ['rāvaṇaḥ']}	{'B-RAKSHASA': ['rāvaṇaḥ']}	{}	{'B-DEVA': ['mahābalaḥ'], 'B-HUMAN': ['rājā'], 'B-ASURA': ['rāvaṇaḥ'], 'B-HUMAN': ['mahābhāgāṃ']}
rāvaṇaḥ sahasreṇa strī samṛddhaṃ nānā ratna upaśobhitam antaḥpuraṃ samutsṛjya tvām upaiṣyati	B-ASURA O B-HUMAN O O O O B-PALACE O O O	12	{'B-ASURA': ['rāvaṇaḥ'], 'B-PALACE': ['antaḥpuraṃ']}	{'B-RAKSHASA': ['rāvaṇaḥ'], 'B-PALACE': ['antaḥpuraṃ']}	{'B-ASURA': ['rāvaṇaḥ'], 'B-HUMAN': ['strī'], 'B-PALACE': ['antaḥpuraṃ']}	{'B-DEVA': ['rāvaṇaḥ'], 'B-HUMAN': ['tvām'], 'B-PLACE': ['antaḥpuraṃ']}
yena asakṛd yuddhe devatā samare nāga gandharva dānavāḥ nirjitāḥ	O O O B-DEVA O B-NAGA B-GANDHARVA B-RAKSHASA O	13	{'B-DEVA': ['devatā'], 'B-NAGA': ['nāga'], 'B-GANDHARVA': ['gandharva'], 'B-ASURA': ['dānavāḥ']}	{'B-DEVA': ['devatā'], 'B-NAGA': ['nāga'], 'B-GANDHARVA': ['gandharva']}	{'B-DEVA': ['devatā'], 'B-NAGA': ['nāga'], 'B-GANDHARVA': ['gandharva'], 'B-ASURA': ['dānavāḥ']}	{'B-DEVA': ['devatā'], 'B-NAGA': ['nāga'], 'B-GANDHARVA': ['gandharva'], 'B-ASURA': ['dānavāḥ']}
'dhame tasya sarvasamṛddhasya rākṣasendrasya mahātmanaḥ rāvaṇasya bhāryā tvam kimarthaṃ na icchase	O O O O O B-ASURA O O O O O	14	{'B-RAKSHASA': ['rākṣasendrasya', 'rāvaṇasya']}	{'B-RAKSHASA': ['rākṣasendrasya', 'rāvaṇasya']}	{'B-RAKSHASA': ['rākṣasendrasya'], 'B-HUMAN': ['bhāryā'], 'B-HUMAN': ['tvam']}	{'B-DEVA': ['rākṣasendrasya'], 'B-HUMAN': ['rāvaṇasya', 'bhāryā'], 'B-ASURA': ['rākṣasendrasya'], 'B-RAKSHASA':
āyatāpāṅge yasya bhīto sūryo na tapati yasya ca mārutaḥ na vāti sma tasya tvaṃ kiṃ na tiṣṭhasi	O O O B-DEVA O O O O B-DEVA O O O O O O O O	15		{'B-DEVA': ['sūryo', 'mārutaḥ']}	{}	{'B-DEVA': ['āyatāpāṅge'], 'B-ASURA': ['bhīto'], 'B-RAKSHASA': ['mārutaḥ']}
subhru! yasya bhayāt taravo puṣpa vṛṣṭim ca vai yadā icchati śailāśca jaladāśca pānīyaṃ mumucur	O O O B-TREE B-FLOWER O O O O O B-MOUNTAIN O O O	16	{'B-MOUNTAIN': ['śailāśca'], 'B-FLOWER': ['puṣpa']}	{'B-TREE': ['taravo'], 'B-FLOWER': ['puṣpa'], 'B-MOUNTAIN': ['śailāśca']}	{}	{'B-DEVA': ['subhru'], 'B-TREE': ['taravo'], 'B-FLLOWER': ['puṣpa'], 'B-MOUNTAIN': ['śailāśca'], 'B-SEA': ['jaladāśca']}
bhāmini tasya nairṛtarājasya rājarājasya rāvaṇasya bhāryārthe tvaṃ buddhiṃ hi kiṃ na kuruṣe	O O O O B-ASURA O O O O O O O	17	{'B-RAKSHASA': ['rāvaṇasya']}	{'B-RAKSHASA': ['rāvaṇasya']}	{}	{'B-DEVA': ['bhāmini'], 'B-HUMAN': ['tasya', 'nairṛtarājasya', 'rājarājasya', 'rāvaṇasya', 'bhāryārthe', 'tvaṃ',
devi te tattvato sādhu kathitaṃ tataḥ paruṣā vikṛtānanāḥ rākṣasyo nārya sītām upāgamya tām paruṣaṃ apriyam vākyam ūcuḥ	B-HUMAN O O O O O O O O B-RAKSHASA B-HUMAN O O O O O O	18	{'B-RAKSHASA': ['rākṣasyo']}	{'B-RAKSHASA': ['rākṣasyo']}	{'B-RAKSHASA': ['rākṣasyo']}	{'B-DEVA': ['devi'], 'B-RAKSHASA': ['rākṣasyo']}
sīte sarvabhūtamanohare mahārha śayana upete antaḥpure vāsam tvam kiṃ na anumanyase	B-HUMAN O O O O B-PALACE O O O O O	19	{'B-KULA': ['sīte'], 'B-PALACE': ['antaḥpure'], 'B-HOUSE': ['vāsam']}	{'B-PALACE': ['antaḥpure']}	{}	{'B-LOCATION': ['antaḥpure'], 'B-ORGANISM': ['sīte'], 'B-LOCATION': ['sarvabhūtamanohare'], 'B-LOCATION': ['śayana'], 'B-LOCATION': ['antaḥpure'], 'B-
mānuṣī mānuṣasya bhāryā eva tvam bahu manyase	B-HUMAN O O O O O O	20	{'B-HUMAN': ['mānuṣī', 'mānuṣasya']}	{'B-HUMAN': ['mānuṣī', 'mānuṣasya']}	{}	{'B-HUMAN': ['mānuṣī', 'mānuṣasya']}
rāmāt mano pratyāhara tvaṃ jātu na bhaviṣyasi	B-HUMAN O O O O O O	21	{}	{'B-HUMAN': ['rāmāt']}	{}	{'B-DEVA': ['rāmāt'], 'B-HUMAN': ['tvaṃ'], 'B-ASTRA': ['mano'], 'B-FOREST': ['pratyāhara'], 'B-TREE': ['tvaṃ'], 'B-FLower':
anindite śobhane mānuṣī rājyād bhraṣṭam asiddhārthaṃ viklavaṃ mānuṣaṃ taṃ rāmam tu tvam icchasi	O O B-HUMAN B-KINGDOM O O O B-HUMAN O B-HUMAN O O O	22	{'B-HUMAN': ['mānuṣī', 'mānuṣaṃ', 'rāmam'], 'B-KINGDOM': ['rājyād']}	{'B-HUMAN': ['mānuṣī', 'mānuṣaṃ', 'rāmam'], 'B-KINGDOM': ['rājyād']}	{}	{'B-DEVA': ['śobhane'], 'B-HUMAN': ['mānuṣī', 'mānuṣaṃ']}
padmanibhekṣaṇā sītā rākṣasīnāṃ vacaḥ śrutvā aśrupūrṇābhyām netrābhyām idaṃ vacanam abravīt	O B-HUMAN B-RAKSHASA O O O O O O O	23	{'B-HUMAN': ['sītā'], 'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnāṃ'], 'B-HUMAN': ['sītā'], 'B-ORNAMENT': ['padmanibhekṣaṇā'], 'B-FRUIT': ['aśrupūrṇābhyām']}	{'B-DEVA': ['padmanibhekṣaṇā'], 'B-HUMAN': ['sītā'], 'B-RAKSHASA': ['rākṣasīnāṃ'], 'B-TREE': ['śrutvā'], 'B-
saṃgatāḥ yad idaṃ lokavidviṣṭam udāharatha etat kilbiṣaṃ vākyaṃ me manasi na pratitiṣṭhati	B-RAKSHASA O O O O O O O O O O O	24		{}	{}	{'B-DEVA': ['saṃgatāḥ'], 'B-HUMAN': ['me'], 'B-RAKSHASA': ['yad'], 'B-ASURA': ['idam'], 'B-NAGA': ['lokavidviṣṭam'], '
mānuṣī rākṣasasya bhāryā na bhavitum arhati	B-HUMAN B-RAKSHASA O O O O	25	{'B-RAKSHASA': ['rākṣasasya'], 'B-HUMAN': ['mānuṣī']}	{'B-HUMAN': ['mānuṣī'], 'B-RAKSHASA': ['rākṣasasya']}	{'B-HUMAN': ['mānuṣī'], 'B-RAKSHASA': ['rākṣasasya'], 'B-ORNAMENT': ['bhāryā']}	{'B-HUMAN': ['mānuṣī'], 'B-RAKSHASA': ['rākṣasasya']}
rāvaṇacoditāḥ rākṣasyaḥ sītāyā vacanaṃ śrutvā krodhamūrchitāḥ paruṣair vākyai bhartsayanti sma	O B-RAKSHASA B-HUMAN O O O O O O O	26	{'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['sītāyā'], 'B-RAKSHASA': ['bhartsayanti']}	{'B-DEVA': ['rāvaṇacoditāḥ'], 'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['sītāyā'], 'B-PLACE': ['śrutvā']}
sa kapiḥ hanumāñ nirvākyo śiṃśapādrume avalīnaḥ sītāṃ saṃtarjayatīḥ tāḥ rākṣasīr aśṛṇot	O B-VANARA B-VANARA O B-TREE O B-HUMAN O O B-RAKSHASA O	27	{'B-VANARA': ['kapiḥ', 'hanumāñ'], 'B-TREE': ['śiṃśapādrume'], 'B-HUMAN': ['sītāṃ'], 'B-RAKSHASA': ['rākṣasīr']}	{'B-VANARA': ['kapiḥ', 'hanumāñ'], 'B-TREE': ['śiṃśapādrume'], 'B-HUMAN': ['sītāṃ'], 'B-RAKSHASA': ['rākṣasī	{'B-VANARA': ['kapiḥ', 'hanumāñ'], 'B-TREE': ['śiṃśapādrume'], 'B-RAKSHASA': ['rākṣasīr']}	{'B-DEVA': ['sa'], 'B-HUMAN': ['kapiḥ', 'hanumāñ'], 'B-RAKSHASA': ['rākṣasīr'], 'B-TREE': ['śiṃśapādrume']}
paramakruddhāḥ paraśvadhān pragṛhya āśu ca ūcuḥ	O B-AXE O O O O	28	{'B-AXE': ['paraśvadhān']}	{'B-AXE': ['paraśvadhān']}	{}	{'B-DEVA': ['paramakruddhāḥ'], 'B-ASURA': ['paraśvadhān'], 'B-HUMAN': ['pragṛhya'], 'B-RAKSHASA': ['ūcuḥ']}
iyam rākṣasādhipam rāvaṇaṃ bhartāraṃ na arhati	O O B-ASURA O O O	29	{'B-RAKSHASA': ['rākṣasādhipam', 'rāvaṇaṃ']}	{'B-RAKSHASA': ['rākṣasādhipam', 'rāvaṇaṃ']}	{'B-ASURA': ['rākṣasādhipam'], 'B-HUMAN': ['bhartāraṃ'], 'B-ASURA': ['rāvaṇaṃ']}	{'B-DEVA': ['rākṣasādhipam'], 'B-ASURA': ['rāvaṇaṃ'], 'B-HUMAN': ['bhartāraṃ']}
bhīmābhī rākṣasībhir bhartsyamānā sā varānanā sā bāṣpam apamārjantī tām śiṃśapāṃ upāgamat	O B-RAKSHASA O O O O O O O B-TREE O	30	{'B-RAKSHASA': ['rākṣasībhir'], 'B-TREE': ['śiṃśapāṃ']}	{'B-RAKSHASA': ['rākṣasībhir'], 'B-TREE': ['śiṃśapāṃ']}	{'B-RAKSHASA': ['bhīmābhī', 'rākṣasībhir'], 'B-TREE': ['śiṃśapāṃ']}	{'B-RAKSHASA': ['rākṣasībhir'], 'B-DEVA': ['varānanā'], 'B-TREE': ['śiṃśapāṃ']}
tatas viśālākṣī śokapariplutā sītā rākṣasībhiḥ samāvṛtā tām śiṃśapāṃ abhigamya tasthau	O O O B-HUMAN B-RAKSHASA O O B-TREE O O	31	{'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-TREE': ['śiṃśapāṃ']}	{'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-TREE': ['śiṃśapāṃ']}	{'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-TREE': ['śiṃśapāṃ']}	{'B-DEVA': ['tatas'], 'B-HUMAN': ['sītā'], 'B-RAKSHASA': ['rākṣasībhiḥ']}
tāḥ bhīmā rākṣasyaḥ kṛśāṃ dīnavadanāṃ malināmbaradhāriṇīm tāṃ samantata: bhartsayāṃcakrire	O O B-RAKSHASA O O O O O O	32	{'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['dīnavadanāṃ'], 'B-HUMAN': ['malināmbaradhāriṇīm']}	{'B-RAKSHASA': ['tāḥ', 'rākṣasyaḥ'], 'B-HUMAN': ['tām', 'samantata:']}
tatas bhīmadarśanā kupitākārā karālā nirṇatodarī vinatā nāma rākṣasī tām abravīt	O O O O O B-RAKSHASA O O O O	33	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}
sīte bhartṛ snehaḥ nidarśitaḥ etāvad paryāptam	B-HUMAN O O O O O	34		{'B-HUMAN': ['sīte']}	{}	{'B-LOCATION': ['sīte'], 'B-ORGANIZATION': ['bhartṛ'], 'B-EMOTION': ['snehaḥ'], 'B-DATE': ['nidarśitaḥ'], 'B-QUANTITY': ['etāvad'], '
maithili mānuṣaḥ vidhiḥ kṛto tu te parituṣṭā asmi te bhadraṃ mama bruvantyāḥ pathyaṃ vacaḥ api kuru	B-HUMAN O O O O O O O O O O O O O O O	35	{'B-HUMAN': ['maithili']}	{'B-HUMAN': ['mānuṣaḥ']}	{}	{'B-DEVA': ['maithili'], 'B-HUMAN': ['mānuṣaḥ'], 'B-KINGDOM': ['vidhiḥ'], 'B-ASURA': ['te'], 'B-RAKSHASA': ['te'], 'B-NAG
sarva rakṣasām bhartāraṃ vikrāntaṃ sureśam iva rūpavantaṃ vāsavam ca rāvaṇaṃ bhartāraṃ bhaja	O B-RAKSHASA O O B-DEVA O O B-DEVA O B-ASURA O O	36	{'B-RAKSHASA': ['rāvaṇaṃ']}	{'B-RAKSHASA': ['rakṣasām', 'rāvaṇaṃ'], 'B-DEVA': ['sureśam', 'vāsavam']}	{'B-RAKSHASA': ['rakṣasām'], 'B-DEVA': ['sureśam', 'vāsavam'], 'B-HUMAN': ['rāvaṇaṃ'], 'B-HUMAN': ['bhartāraṃ']}	{'B-DEVA': ['sureśam'], 'B-RAKSHASA': ['rakṣasām', 'rāvaṇaṃ']}
mānuṣaṃ kṛpaṇaṃ rāmaṃ tyaktvā sarvasya priyavādinam dakṣiṇaṃ ca tyāgaśīlaṃ rāvaṇam āśraya	O O B-HUMAN O O O O O O B-ASURA O	37	{'B-HUMAN': ['mānuṣaṃ', 'rāmaṃ'], 'B-ASURA': ['rāvaṇam']}	{'B-HUMAN': ['mānuṣaṃ', 'rāmaṃ', 'rāvaṇam']}	{'B-HUMAN': ['mānuṣaṃ', 'rāmaṃ'], 'B-ASURA': ['rāvaṇam']}	{'B-DEVA': ['rāmaṃ'], 'B-HUMAN': ['mānuṣaṃ'], 'B-ASURA': ['rāvaṇam']}
vaidehi divya aṅga rāgā divyābharaṇabhūṣitā adya prabhṛti sarveṣāṃ lokānām īśvarī bhava	B-HUMAN O O O B-ORNAMENT O O O O O O	38	{'B-ORNAMENT': ['divyābharaṇabhūṣitā']}	{'B-ORNAMENT': ['divyābharaṇabhūṣitā']}	{}	{'B-DEVA': ['vaidehi'], 'B-ORNAMENT': ['divyābharaṇabhūṣitā']}
śobhane yathā agneḥ svāhā devī śacī indrasya iva	O O B-DEVA B-DEVA O B-DEVA B-DEVA O	39	{'B-DEVA': ['agneḥ', 'śacī', 'indrasya']}	{'B-DEVA': ['agneḥ', 'indrasya'], 'B-DEVI': ['śacī']}	{}	{'B-DEVA': ['śacī'], 'B-DEVA': ['devī']}
vaidehi kṛpaṇena gatāyuṣā rāmeṇa te kiṃ	B-HUMAN O O B-HUMAN O O	40		{'B-HUMAN': ['vaidehi', 'rāmeṇa']}	{}	{'B-DEVA': ['rāmeṇa']}
etad ca me uktaṃ vākyaṃ yadi tvaṃ na kariṣyasi vayam sarvāḥ asmin muhūrte tvā bhakṣayiṣyāmahe	O O O O O O O O O O O O B-MUHURTA O O	41	{'B-MUHURTA': ['muhūrte']}	{'B-MUHURTA': ['muhūrte']}	{'B-ASURA': ['vayam'], 'B-MUHURTA': ['asmin']}	{'B-ASURA': ['tvā'], 'B-DEVA': ['tvā']}
anyā tu lambamānapayodharā vikaṭā nāma kupitā muṣṭim udyamya garjatī sītāṃ abravīt	O O O B-RAKSHASA O O O O O B-HUMAN O	42		{'B-HUMAN': ['sītāṃ']}	{}	{'B-DEVA': ['sītāṃ']}
sudurmate maithili tava bahūni apratirūpāṇi vacanāni anukrośāt mṛdu ca tvāt soḍhāni	O B-HUMAN O O O O O O O O O	43	{'B-HUMAN': ['maithili']}	{'B-HUMAN': ['maithili']}	{}	{'B-LOCATION': ['sudurmate', 'maithili'], 'B-ORGANIZATION': ['tava'], 'B-LOCATION': ['bahūni apratirūpāṇi'], 'B-LOCATION': ['vacanāni anukrośāt'], 'B
maithili ānītā asi samudrasya pāram rāvaṇasya ghoraṃ antaḥpuram praviṣṭā asi ca anyair durāsadam	B-HUMAN O O B-SEA O B-ASURA O B-PALACE O O O O O	44	{'B-SEA': ['samudrasya'], 'B-ASURA': ['rāvaṇasya'], 'B-PALACE': ['antaḥpuram']}	{'B-PALACE': ['antaḥpuram'], 'B-SEA': ['samudrasya']}	{'B-PALACE': ['antaḥpuram'], 'B-ASURA': ['rāvaṇasya'], 'B-SEA': ['samudrasya']}	{'B-LOCATION': ['maithili', 'samudrasya', 'antaḥpuram', 'anyair', 'durāsadam'], 'B-ORGANIZATION': ['rāvaṇasya'], 'B-ANIMAL': ['ghoraṃ']}
rāvaṇasya gṛhe ruddhā tu asmābhiḥ surakṣitā tvāṃ paritrātum sākṣāt puraṃdaraḥ api na śaktaḥ	B-ASURA B-HOUSE O O O O O O O B-DEVA O O O	45	{'B-ASURA': ['rāvaṇasya'], 'B-HOUSE': ['gṛhe'], 'B-CITY': ['puraṃdaraḥ']}	{'B-RAKSHASA': ['rāvaṇasya'], 'B-HOUSE': ['gṛhe'], 'B-DEVA': ['puraṃdaraḥ']}	{}	{'B-DEVA': ['rāvaṇasya'], 'B-HUMAN': ['purandara'], 'B-ASURA': ['rāvaṇasya']}
maithili hita vādinyāḥ mama vacanaṃ kuruṣva	B-HUMAN O O O O O	46	{}	{'B-HUMAN': ['maithili']}	{}	{'B-LOCATION': ['maithili'], 'B-ORGANIZATION': ['hita'], 'B-ORGANIZATION': ['vādinyāḥ'], 'B-PERSON': ['mama'], 'B-ORGANIZATION': ['vacanaṃ'], 'B-
sīte tyaja nitya dainyatām bhaja prītiṃ praharṣaṃ ca rākṣasarājena saha yathāsukham krīḍa	B-HUMAN O O O O O O O B-RAKSHASA O O O	47	{'B-RAKSHASA': ['rākṣasarājena']}	{'B-RAKSHASA': ['rākṣasarājena']}	{'B-RAKSHASA': ['rākṣasarājena']}	{'B-DEVA': ['rākṣasarājena'], 'B-RAKSHASA': ['rākṣasarājena'], 'B-HUMAN': ['sīte']}
madirekṣaṇe tvaṃ rākṣasarājena saha udyānāni ca ramyāṇi parvata ca upavanāni cara	O O O O B-GARDEN O O B-MOUNTAIN O B-FOREST O	48	{'B-RAKSHASA': ['rākṣasarājena'], 'B-GARDEN': ['udyānāni'], 'B-MOUNTAIN': ['parvata'], 'B-GARDEN': ['upavanāni']}	{'B-RAKSHASA': ['rākṣasarājena'], 'B-GARDEN': ['udyānāni', 'upavanāni'], 'B-MOUNTAIN': ['parvata']}	{'B-RAKSHASA': ['rākṣasarājena'], 'B-GARDEN': ['udyānāni'], 'B-MOUNTAIN': ['parvata'], 'B-GARDEN': ['upavanāni']}	{'B-LOCATION': ['madirekṣaṇe', 'udyānāni', 'parvata', 'upavanāni'], 'B-ORGANIZATION': ['rākṣasarājena'], 'B-ANIMAL': ['saha']}
sarva rakṣasām bhartāraṃ rāvaṇaṃ bhartāraṃ bhaja	O O O B-ASURA O O	49	{'B-RAKSHASA': ['rakṣasām', 'rāvaṇaṃ']}	{'B-RAKSHASA': ['rakṣasām', 'rāvaṇaṃ']}	{'B-RAKSHASA': ['rakṣasām'], 'B-KINGDOM': ['rāvaṇaṃ'], 'I-KINGDOM': ['bhartāraṃ']}	{'B-DEVA': ['sarva'], 'B-RAKSHASA': ['rakṣasām', 'rāvaṇaṃ']}
maithili me vyāhṛtaṃ vākyaṃ yadi yathāvat na kariṣyasi te hṛdayaṃ utpāṭya vā bhakṣayiṣyāmi	B-HUMAN O O O O O O O O O O O O	50		{'B-HUMAN': ['maithili']}	{}	{'B-LOCATION': ['maithili'], 'B-ORGANIZATION': ['vyāhṛtaṃ'], 'B-LOCATION': ['vākyaṃ'], 'B-LOCATION': ['yadi'], 'B-LOCATION': ['yathāvat'], 'B-LOCATION
tatas krūradarśanā caṇḍodarī nāma rākṣasī mahat śūlam bhrāmayantī idaṃ vacanam abravīt	O O B-RAKSHASA O O O B-ASTRA O O O O	51	{'B-RAKSHASA': ['rākṣasī'], 'B-ASTRA': ['śūlam']}	{'B-RAKSHASA': ['rākṣasī'], 'B-AXE': ['śūlam']}	{'B-RAKSHASA': ['caṇḍodarī'], 'B-AXE': ['śūlam'], 'O': ['tatas', 'krūradarśanā', 'mahat', 'bhrāmayantī', 'idaṃ', 'vacanam', '	{'B-RAKSHASA': ['caṇḍodarī'], 'B-HUMAN': ['tatas'], 'B-WEAPON': ['śūlam']}
rāvaṇena hṛtāṃ hariṇalolākṣīṃ trāsa utkampa payodharām imāṃ dṛṣṭvā me mahān daurhṛdo abhūt	B-ASURA O O O O O O O O O O O	52	{'B-ASURA': ['rāvaṇena']}	{'B-RAKSHASA': ['rāvaṇena'], 'B-HUMAN': ['hariṇalolākṣīṃ']}	{}	{'B-DEVA': ['hariṇalolākṣīṃ'], 'B-ASURA': ['rāvaṇena']}
tatas tu praghasā nāma rākṣasī vākyam abravīt	O O B-RAKSHASA O O O O	53	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['praghasā'], 'B-HUMAN': ['rākṣasī'], 'O': ['vākyam', 'abravīt']}	{'B-RAKSHASA': ['rākṣasī']}
tato rājñe nivedyatāṃ ha sā mānuṣī mṛtā iti	O B-ASURA O O O B-HUMAN O O	54	{'B-HUMAN': ['mānuṣī']}	{'B-HUMAN': ['rājñe', 'mānuṣī']}	{'B-HUMAN': ['sā'], 'B-ASURA': ['mānuṣī']}	{'B-DEVA': ['tato'], 'B-HUMAN': ['rājñe', 'mṛtā'], 'B-ASURA': ['ha']}
tatas tu ajāmukhī nāma rākṣasī vākyam abravīt	O O B-RAKSHASA O O O O	55	{'B-RAKSHASA': ['ajāmukhī', 'rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['ajāmukhī'], 'I-RAKSHASA': ['nāma', 'rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}
