ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
1014	सर्षपस्य प्रभावः कः? 	रक्षोहर; रक्षोहरः	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	अलक्ष्मीहर	सर्षपस्य प्रभावः रक्षोहर	मंगलकर	मंगलकर
1015	दधेः वीर्यगुणः कः?	उष्णः		शीतः	शीतलम्	शीतलः	दधि
1016	कः रसः हरितक्याम् नास्ति ? 	लवणः		लावणः	लवणः	क्षीरा	तिक्त
1017	लौहधातोः कति दोषाः उक्ता? 	७; सप्त		सप्त	षट्	त्रयः	अष्ट
1018	हरीतक्याः रसाः कतिपयः ? 	पञ्च		षट्	षड्रसात्मकः	द्वौ	अम्ल, लवण, कषाय, तिक्त, कटु
1019	धान्यकस्य रसाः कतिपयः 	द्वौ		तिक्तकटुकाम्लमधुराः	मधुरः, कटुः, तिक्तः च	षड्‌ रसाः	अष्टाः
1020	अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	पायस	पायस	नारिकेरक्षीरी	नारिकेरक्षीरी
1021	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन; ओदनस्य	ओदन / दालि / सूप / पोलिका	ओदन	ओदन	ओदन	ओदन
1022	क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्; अर्धपक्वं शुद्धं दुग्धम्; घृताक्ततण्डुलम्	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	क्षीरम्	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम्	क्षीरम्	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्
1023	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	अङ्गारभर्जनम्; अङ्गारभर्जनेन	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभृष्टचणकः पाचनम्
1024	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः; चणकस्य	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	चणकः	चणकः	चणकः	मुद्गम्
1025	यवेषु केन संस्कारेण धाना उत्पद्यते?	भर्जनेन; भृष्ट्या		भेदनम्	मार्दवीकरणेन	पाचनस्य संस्कारेण	जलसंस्कारेण
1026	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम्; आर्द्रभर्जनेन	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	स्वेदनम्	आर्द्रभर्जनम्	आर्द्रभर्जनम्	आर्द्रभर्जनम्
1027	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् + वेल्लनम्	पाचनम् / वेल्लनम् / चिपिटीकरणम्	वेल्लनम्	चिपिटीकरणम्	पाचनम्	पाचनम्
1028	केन संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति ? 	तक्र-मज्जन-संस्कारः; तक्रमज्जनसंस्कारेण	तलन-संस्कारः / वटकीकरण-संस्कारः / घृत-तलन-संस्कारः / तक्र-मज्जन-संस्कारः	तक्र-मज्जन-संस्कारः	तलन-संस्कारेण	वटकीकरण-संस्कारः	तलन-संस्कारः
1029	पोलिकायाः अनुपानं किम् ? 	लप्सिका	लप्सिका / घृतम् / दुग्धम् / शर्करा	दुग्धम्	दुग्धम्	घृतम्	दुग्धम्
1030	अलीकमत्स्यस्य अनुखादनं किम् ? 	वृन्ताक-भटित्र ; वास्तुक-शाक; वास्तुकं वृन्ताकभटित्रं च; वास्तुकः वृन्ताकभटित्रम्		अयोग्यम्	विषमज्वरः	कुप्यति	अन्नम्
1031	महागोधूमस्य उत्पत्तिः कुतः अस्ति? 	पश्चाद्देशे; पश्चात्देशः	पश्चात्-देशः / उत्तरदेशः / मध्यदेशः / दक्षिणदेशः	उत्तरदेशः	उत्तरदेशः	उत्तरदेशः	उत्तरदेशः
1032	मध्यदेशः इति उत्पत्तिस्थानम् कस्य गोधूमस्य?	मधूली; मधूल्याः		गोधूमस्य	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य नाना (नानात्वात्)	गोधूमस्य गृहेण	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य
1033	चणकसक्तूनाम् अभ्यवहरणकालः कः? 	ग्रीष्मः	वसन्तः / वर्षा / हेमन्तः / ग्रीष्मः	ग्रीष्मः	वर्षा	वसन्तः	वसन्तः
1034	अधोलिखितेषु कः सक्तूनाम् अभ्यवहरणकालः न अस्ति	निशा ; भुक्त	निशा / प्रातः / भुक्त / मध्याह्ने	प्रातः	प्रातः	निशा	अधोलिखितेषु सक्तूनाम् अभ्यवहरणकालः न अस्ति मध्याह्ने
1035	केषाम् पक्षिणां मांसं लघुतमं स्यात् 	धान्यस्य अंकुरान् चरतां पक्षिणाम्	जले निवसतां पक्षिणाम् / धान्यस्य अंकुरान् चरतां पक्षिणाम् / विष्किरपक्षिणाम् / बिलेशयपक्षिणाम्	विष्किरपक्षिणाम्	मयूरस्य	विष्किरपक्षिणाम्	विष्किरपक्षिणाम्
1036	वर्चसि शाल्याः किं कर्म? 	बद्धवर्चस् + अल्पवर्चस्; १+२	बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	बद्धवर्चस्	विरेचनम्	बद्धवर्चस्	विरेचन
1037	गोधूमस्य कानि कर्माणि दृश्यन्ते 	सर्वाणि	 सन्धानम् / जीवनम् / बृंहणम् / सर्वाणि	सर्वाणि	सर्वाणि	सर्वाणि	बृंहणम्
1038	शिम्बिधान्येषु किं स्तन्यकरम् अस्ति? 	निष्पाव + माष; १+३	 निष्पाव / मुद्ग / माष / १+३	माष	माष	मुद्ग	माष
1039	रक्तधातवे चणकस्य किं कर्म? 	रक्तविकारापह	रक्तहर / रक्तविकारापह / रक्तप्रकोपक / रक्तदुष्टीकर	रक्तप्रकोपक	रक्तप्रकोपक	रक्तविकारापह	रक्तहर
1040	विशेषेण चक्षुष्यं घृतं कतम्? 	गव्य; गव्यम्	 माहिष / आविक / गव्य / आज	गव्य	आविकम्	गव्य	आविक
1041	पथ्यायाः केन भेदेन संग्रहणं कर्म दृश्यते ?	स्विन्ना पथ्या; स्विन्नापथ्या	 पथ्या / भृष्ट-पथ्या / स्विन्ना पथ्या / चर्विता पथ्या	चर्विता पथ्या	स्विन्ना पथ्या	पथ्या	पथ्यायाः भृष्ट-पथ्या भेदेन संग्रहणं कर्म दृश्यते
1042	मंगल्यको ……. स्यान्मंगल्या च मसूरिका । 	मसूरः	 मुद्गः / मकुष्ठः / माषः / मसूरः	माषः	माषः	मसूरः	मुद्गः
1043	पर्पटास्ते सदा …….. परमरोचकाः। 	अङ्गारभृष्टाः	 भृष्टाः / अङ्गारभृष्टाः / पाचिताः / तलिताः	भृष्टाः	भृष्टाः	पाचिताः	पाचिताः
1044	माषः …….। 	अनिलापहः	 अनिलापहः / त्रिदोषकारकः / पित्तहरः / कफघ्नः	त्रिदोषकारकः	त्रिदोषकारकः	त्रिदोषकारकः	पित्तहरः
1045	भावप्रकाशः हीरकस्य वर्णनं कस्मिन् वर्गे कृतवान्? 	धातूपधातुरसोपरसरत्नोपरत्नविषोपविषवर्गः ; धात्वादिवर्गः; धातुवर्गे		रसायवर्गे	रत्नवर्गे	औषधि वर्गे	अष्टाङ्गहृदये
1046	रसाञ्जनं कस्मिन् वर्गे वर्णितम्? 	हरीतक्यादिवर्गः		रसवर्गे	रसाञ्जनं कषायवर्गे वर्णितम्	औषधि	अष्टाङ्गहृदये
1047	सर्षपस्य वर्णनं कस्मिन् वर्गे स्यात्? 	धान्यवर्गः		हरितवर्गः	कटुवर्गे	कान्तारकवर्गे	अरिष्ट वर्गे स्यात्
1048	श्यामः मुद्गः कस्मात् लघुः ? 	श्वेतात्; रक्त; हरित	हरित / पीतक / श्वेत / रक्त	हरित	श्वेतमुद्गः लघुः	हरित	पीतक
1049	हरितः मुद्गः कस्मात् गुरुः? 	श्यामात्; श्याम	पीतक / श्याम / श्वेत / रक्त	श्याम	पीतक	श्वेत	पीतक
1050	किॅ वाक्यं योग्यम् अस्ति? 	नवगोधूमः भद्रतरः पुराणगोधूमात्	पुराणतिलः भद्रतरः नवतिलात् / नवगोधूमः भद्रतरः पुराणगोधूमात् / पुराणयवः भद्रतरः नवयवात् / पुराणमाषः भद्रतरः नवमाषात्	पुराणमाषः भद्रतरः नवमाषात्	पुराणतिलः भद्रतरः नवतिलात्	पुराणगोधूमः भद्रतरः नवगोधूमात्	पुराणतिलः भद्रतरः नवतिलात्
1051	कः चणकः कुष्ठव्याधिं वर्धते? 	शुष्कभृष्ट; शुष्कभृष्टः	स्विन्न / शुष्कभृष्ट / आर्द्रभृष्ट / अपक्व	शुष्कभृष्ट	आर्द्रभृष्ट	स्विन्न	आर्द्रभृष्ट
1052	त्रिपुटसेवनात् का व्याधि जायते ? 	खञ्जत्वम् + पङ्गुत्वम्; २+३	ज्वरः / खञ्जत्वम् / पङ्गुत्वम् / २+३	ज्वरः	खञ्जत्वम् पङ्गुत्वम् च	२+३	खञ्जत्वम्
1053	सर्षपसेवनेन का व्याधि वर्धते ? 	रक्तपित्तम्	रक्तपित्तम् / ज्वरः / अम्लपित्तम् / कृमिः	अम्लपित्तम्	अम्लपित्तम्	रक्तपित्तम्	अम्लपित्तम्
1054	अधोलिखितेषु कः शाकः सर्वज्वरहर्ता अस्ति? 	गुडूची	पटोलपत्रम्  / गुडूची  / कासमर्द  / गोजिह्वा	गुडूची	गुडूची	गुडूची	गुडूची
1055	पिनाक-अभ्रक-सेवनात् कः रोगः जायते ? 	महाकुष्ठः	मधुमेहः / ग्रन्थिः / महाकुष्ठः / मृत्युः	मृत्युः	महाकुष्ठः	महाकुष्ठः	मृत्युः
1056	कफदोषे सर्षपस्य किं कर्म? 	कफघ्नम्; कफहरः; कफापहम्		शोषणम्	शोषणम्	सर्षपस्य शीतलपाचनं	सर्षपस्य प्रशमनं कर्म
1057	स्विन्नचणकविषये किं वाक्यं योग्यम्? 	स्विन्नचणकः पित्तं हन्ति ; स्विन्नचणकः कफं हन्ति	स्विन्नचणकः पित्तं हन्ति। / स्विन्नचणकः पित्तं वर्धयति। / स्विन्नचणकः कफं हन्ति।	स्विन्नचणकः पित्तं हन्ति	स्विन्नचणकः पित्तं वर्धयति	स्विन्नचणकः पित्तं वर्धयति	स्विन्नचणकः पित्तं हन्ति
1058	संस्वेदजाः शाकाः कान् दोषान् प्रकोपयन्ति ? 	त्रिदोषम्	वातः / पित्तम् / कफः / त्रिदोषम्	त्रिदोषम्	पित्तम्	पित्तम्	वातः
1059	शूकः कस्य भागः न वर्तते? 	दीर्घगोधूमः; दीर्घगोधूमस्य	शालिः / यवः / गोधूमः / दीर्घगोधूमः	गोधूमः	दीर्घगोधूमः	शालिः	शूकः गोधूमः
1060	तुषः कस्य भागः नास्ति? 	निस्तुषचणकः; निस्तुष चणक; निस्तुषचणक; निस्तुष चणकस्य	भृष्टयव / भृष्टचणक / शालि /निस्तुष चणक।	निस्तुष चणक	निस्तुष चणक	निस्तुष चणक	भृष्टचणक
1061	कः शाकः अपक्वः शुष्कः च उभयथापि सेवनं निषिद्धं न अस्ति ? 	मूलक		यवादः	पर्पटः	नान्हिका	अर्का
1062	हरीतक्याः केन द्रव्येण सह मिश्रणं पित्तशमनं करोति?	शर्करा	शर्करा / लवण / मधु / घृत	शर्करा	मधु	मधु	मधु
1063	चूर्णकल्पनार्थे का शस्ता ? 	चेतकी	चेतकी / अभया / पूतना / विजया	चेतकी	चेतकी	अभया	विजया
1064	कुण्डलिनीनाम कृतान्ने अम्लदधेः परिमाणं किम् अस्ति? 	अर्धप्रस्थ; अर्धप्रस्थम्; अर्धप्रस्थः	अर्धप्रस्थ / द्विप्रस्थ / प्रस्थ / अर्धशराव	अर्धशराव	अर्धप्रस्थ	द्विप्रस्थ	अर्धप्रस्थ
1065	निम्बुफलपानके निम्बुफलापेक्षया शर्करोदकस्य परिमाणं किम्? 	षड्भाग; षड्भागम्	एकभाग / द्विभाग / षड्भाग / अष्टभाग	षड्भाग	द्विभाग	द्विभाग	षड्भाग
1066	कः कः अभयां न खादेत्?	बलवर्जितः ; गर्भवतीनारी ; पित्ताधिकः ; विमुक्तरक्तः ; रूक्षः ; कृशः ; लंघनकर्शितः ; अध्वातिखिन्नः; गर्भिणी; अध्वातिखिन्नो बलवर्जितश्च रूक्षः कृशो लङ्घनकर्शितश्च पित्ताधिको गर्भवती च नारी विमुक्तरक्तस्त्वभयां न खादेत्		रोगीः	गर्भिणी	कब्जः	अग्निः
1067	मधु-अभययोः संयोगः कस्मिन् ऋतौ शस्तः? 	वसन्तः; वसन्तऋतौ; वसन्ते		वसन्त-ऋतुः	वर्षायां ऋतौ	ग्रीष्मऋतौ	शिशिर-रत्नोत्सवे
1068	अम्लवर्जितः इति कस्य द्रव्यस्य वर्णनं स्यात्?	रसोनम्	रसोन / हरीतकी / आमलकी / गुडूची	हरीतकी	गुडूची	आमलकी	अम्लवर्जितः इति कस्य द्रव्यस्य वर्णनं स्यात्? गुडूची
1069	रसोनस्य कः भागः तिक्तरसप्रधानः? 	पत्रम्	पत्रम् / मूलम् / बीजम् / नालः	मूलम्	पत्रम्	पत्रम्	बीजम्
1	भावप्रकाशननिघण्टौ प्रथमं कस्य वर्गस्य उल्लेखः अस्ति? 	हरीतक्यादि; हरीतक्यादिवर्गस्य		गुडूच्यादिवर्गस्य	हरितवर्गस्य	अभिषृष्टवर्गस्य	अष्टाङ्गहृदयस्य
2	अमृतपानसमये भगवतः इन्द्रस्य मुखात् पृथिव्यां बिन्दुः पतित्वा किं द्रव्यम् उत्पन्नम् आसीत्? 	अभया	गुडूची / अभया / आमलकी / अमृतवल्ली	गुडूची	गुडूची	अभया	अमृतवल्ली
4	हरीतक्याः कति प्रकाराः उक्ताः?	७; सप्त		सप्त प्रकाराः	सप्त	त्रयः	अष्टाः
5	हरीतक्याः कः प्रकारः सर्वत्र उपलभ्यते? 	रोहिणी	विजया / चेतकी / अभया / रोहिणी	अभया	विजया	विजया	विजया
6	हरीतक्यां कति रसाः वर्तन्ते? 	५; पञ्च		षट्	षड्रसा	त्रिः रसाः	अष्ट
7	उत्तमहरीतक्याः भारः कियान् भवेत्?	२ कर्षः		एकम् तोलकम्	एकमासकम्	द्विगुणं	उत्तमहरीतक्याः भारः शीतलीकरणेन भवेत्
9	बिभीतकस्य पर्यायः कः अस्ति? 	सर्वे	कलिद्रुमः / भूतवासः / कलियुगालयः / सर्वे	सर्वे	सर्वे	कलिद्रुमः	कलिद्रुमः
10	आमलक्याः पर्यायः कः अस्ति? 	सर्वे	वयस्या / वृष्या / जातीफलरसम् / सर्वे	सर्वे	सर्वे	जातीफलरसम्	वृष्या
12	हरीतकीसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्यं रसायनम्।  - एतत् कस्य विषये उक्तम् अस्ति?	आमलक्याः		आमलकी	आमलकस्य	आहारविहारस्य	अश्वगंधा
13	वरा कस्य पर्यायः अस्ति? 	त्रिफलायाः		इक्षुमूलम्	उत्तमा	वृत्तिः	वात
14	शुण्ठी कस्य पर्यायः अस्ति? 	सर्वेषाम्	विश्वायाः / महौषधस्य / श्रृङ्गवेरस्य / सर्वेषाम्	श्रृङ्गवेरस्य	विश्वायाः	महौषधस्य	विश्वायाः
15	पिप्पली कस्य पर्यायः अस्ति?	सर्वेषाम्	कणायाः / वैदेह्याः / तीक्ष्णतण्डुलायाः / सर्वेषाम्	सर्वेषाम्	सर्वेषाम्	सर्वेषाम्	कणायाः
16	पिप्पली कस्य पर्यायः अस्ति? 	सर्वेषाम्	मागध्याः / कृष्णायाः / चपलायाः / सर्वेषाम्	मागध्याः	सर्वेषाम्	मागध्याः	मागध्याः
17	मरीचः कस्य पर्यायः अस्ति? 	सर्वेषाम्	कृष्णस्य / धर्मपतनस्य / वेल्लजस्य / सर्वेषाम्	कृष्णस्य	मरीचः वेल्लजस्य पर्यायः अस्ति	कृष्णस्य	वेल्लजस्य
18	मरीचः कस्य पर्यायः नास्ति? 	कृष्णायाः; कृष्णस्य	कृष्णायाः / ऊषणस्या / कृष्णस्य / वेल्लजस्य	वेल्लजस्य	कृष्णायाः	कृष्णायाः	कृष्णायाः
19	व्योषः कस्य पर्यायः अस्ति? 	सर्वेषाम्	त्रिकटोः / त्र्यूषणस्य / कटुत्रिकस्य / सर्वेषाम्	सर्वेषाम्	सर्वेषाम्	त्रिकटोः	कटुत्रिकस्य
20	चटकाशिरः कस्य पर्यायः अस्ति? 	पिप्पलीमूलस्य	शुण्ठ्याः / काकानासायाः / पिप्पलीमूलस्य / भल्लातकस्य	काकानासायाः	पिप्पलीमूलस्य	शुण्ठ्याः	पिप्पलीमूलस्य
27	अजमोदा कस्य पर्यायः अस्ति? 	सर्वेषाम्	खराश्वस्य / मायूरस्य / ब्रह्मकुशायाः / सर्वेषाम्	खराश्वस्य	सर्वेषाम्	खराश्वस्य	ब्रह्मकुशायाः
29	कुस्तुम्बरू कस्य पर्यायः अस्ति? 	धान्यकस्य		धन्यवादः	कुस्तुम्बरू अजमोदायाः पर्यायः अस्ति	कुष्ठक	अमृत
30	मेथिका कस्य पर्यायः अस्ति? 	सर्वेषाम्	बहुपत्रिकायाः / बहुबीजायाः / बहुपर्ण्याः / सर्वेषाम्	बहुपत्रिकायाः	बहुपत्रिकायाः	बहुपत्रिकायाः	बहुपत्रिकायाः
31	मेथिका अधोदत्तेषु कस्य पर्यायः अस्ति? 	सर्वेषाम्	ज्योतेः / पीतबीजस्य / मुनिच्छदायाः / सर्वेषाम्	पीतबीजस्य	सर्वेषाम्	ज्योतेः	मुनिच्छदायः
32	पशुमेहनकारिका अनेन शोषणस्य पर्यायः कः अस्ति?  अधोलिखितेषु	चन्द्रशूरः	मेथिका / जीरकम् / चन्द्रशूरः / अजमोदा	चन्द्रशूरः	मेथिका	जीरकम्	अधोलिखितेषु मेथिका
33	अधोलिखितेषु हिङ्गुः इति कस्य पर्यायः न अस्ति? 	न कस्यचन	सहस्रवेधेः / रामठस्य / बाल्हीकस्य / न कस्यचन	रामठस्य	रामठस्य	न कस्यचन	बाल्हीकस्य
36	द्वीपान्तरवचायाः वर्णनं भावप्रकाशस्य कस्मिन् वर्गे कृतम् अस्ति?	हरीतक्यादिवर्गे		नवनीतद्वारसिंहवर्गे	मिश्रवर्गे	आहारविज्ञानम्	अष्टाङ्गहृदये
37	विडङ्गः अधस्तनेषु कस्य पर्यायः  अस्ति?	सर्वेषाम्	कृमिघ्नस्य / चित्रतण्डुलस्य / जन्तुनाशनस्य / सर्वेषाम्	सर्वेषाम्	सर्वेषाम्	कृमिघ्नस्य	कृमिघ्नस्य
38	तुगाक्षीरी अधस्तनेषु कस्य पर्यायः अस्ति?	वंशलोचनस्य	वंशलोचनस्य / विडंगस्य / द्वीपांतर वचा / लवङ्गस्य	वंशलोचनस्य	वंशलोचनस्य	विडंगस्य	वंशलोचनस्य
39	क्लीतकस्य पर्यायः अधस्तनेषु कः अस्ति?	यष्टिमधु	हरिद्रा / यष्टिमधु / मधूक / सारिवा	मधूक	मधूक	हरिद्रा	हरिद्रा
40	आरग्वधः अधस्तनेषु कस्य पर्यायः न अस्ति?	रोचनस्य	शम्पाकस्य / व्याधिघातस्य / रोचनस्य / कर्णिकारस्य	कर्णिकारस्य	व्याधिघातस्य	शम्पाकस्य	व्याधिघातस्य
41	कुटकी अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	कृष्णभेदायाः / कटम्भरायाः / शकुलादन्याः / सर्वेषाम्	कृष्णभेदायाः	सर्वेषाम्	कृष्णभेदायाः	कटम्भरायाः
42	मत्स्यपित्ता अधस्तनेषु कस्य पर्यायः अस्ति?	कुटक्याः	कुटक्याः / मधुयष्ट्याः / आरग्वधस्य / मण्डूक्याः	आरग्वधस्य	मण्डूक्याः	कुटक्याः	कुटक्याः
43	किराततिक्तः एतेषु कस्य पर्यायः अस्ति?	काण्डतिक्तायाः	कटुरोहिण्याः / तिक्तायाः/ कटुकायाः / काण्डतिक्तायाः	काण्डतिक्तायाः	कटुरोहिण्याः	तिक्तायाः	कटुकायाः
44	विषपुष्पकः एतेषु कस्य पर्यायः अस्ति?	मदनफलस्य	मदनफलस्य / अर्कस्य / लाङगल्याः / करवीरस्य	करवीरस्य	करवीरस्य	करवीरस्य	मदनफलस्य
45	मदनफलम् एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	छर्दनस्य / नटस्य / शल्यकस्य / सर्वेषाम्	छर्दनस्य	सर्वेषाम्	छर्दनस्य	शल्यकस्य
46	रास्ना एतेषु कस्य पर्यायः न अस्ति?	रामसेनकस्य	युक्तरसायाः / एलापर्ण्याः / श्रेयस्याः / रामसेनकस्य	रामसेनकस्य	एलापर्ण्याः	श्रेयस्याः	श्रेयस्याः
48	पारावतपदी एतेषु कस्य पर्यायः अस्ति?	मालकाङ्गन्याः	मालकाङ्गन्याः / रास्नायाः / गुडुच्याः / ब्राह्म्याः	रास्नायाः	मालकाङ्गन्याः	मालकाङ्गन्याः	मालकाङ्गन्याः
49	चोकः कस्य द्रव्यस्य मूलं कथ्यते?	सत्यानाश्याः		कमलस्य	अग्निमन्थस्य	तुलस्याः	अम्लस्य
51	ब्राह्मणयष्टिका एतेषु कस्य पर्यायः अस्ति?	भारङ्ग्याः	यष्टीमधुनः/ धातक्याः / भारङ्ग्याः / कायफलस्य	यष्टीमधुनः	धातक्याः	यष्टीमधुः	कायफलस्य
52	कट्फलः एतेषु कस्य पर्यायः न अस्ति?	अङ्गारवल्ल्याः	कैटर्यस्य/ अङ्गारवल्ल्याः / श्रीपर्णिकायाः / भद्रवत्याः	भद्रवत्याः	भद्रवत्याः	कैटर्यस्य	कट्फलः कैटर्यस्य पर्यायः अस्ति
53	धातकी एतेषु कस्य पर्यायः न अस्ति?	भद्रायाः	ताम्रपुष्प्याः / कुन्जरायाः / भद्रायाः / वह्निज्वालायाः	कुन्जरायाः	कुन्जरायाः	कुन्जरायाः	कुन्जरायाः
54	भावप्रकाशानुसारं मण्डूकपर्णी एतेषु कस्य पर्यायः अस्ति?	मञ्जिष्ठा; मञ्जिष्ठायाः	मण्डूक्याः / ब्रह्म्याः / मञ्जिष्ठा	मण्डूक्याः	ब्रह्म्याः	मण्डूक्याः	मण्डूकपर्णी
55	मञ्जिष्ठा एतेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	मण्डूकपर्ण्याः / योजनवल्ल्याः / रक्तयष्टिकायाः / भद्रवत्याः	भद्रवत्याः	भद्रवत्याः	मण्डूकपर्ण्याः	मण्डूकपर्ण्याः
56	विशेषाद्वयङ्गनाशनः एतेषु कस्य कर्म अस्ति?	अलक्तकस्य	अलक्तकस्य / शाल्मल्याः / मधुयष्ट्याः / नीमस्य	शाल्मल्याः	अलक्तकस्य	नीमस्य	अलक्तकस्य
57	पलङ्कषा एतेषु कस्य पर्यायः अस्ति?	लाक्षायाः	मण्डूकपर्ण्याः / लाक्षायाः / गुगुलस्य / बह्म्याः	लाक्षायाः	लाक्षायाः	लाक्षायाः	मण्डूकपर्ण्याः
58	हरिद्रा एतेषु कस्य पर्यायः नास्ति?	भद्रायाः	निशायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः	हटविलासन्याः	निशायाः	निशायाः	हरिद्रायाः पर्यायः नास्ति
59	हरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	काच्चन्याः / पीतायाः / वरवर्णिन्याः / सर्वेषाम्	पीतायाः	सर्वेषाम्	पीतायाः	हरिद्रायाः पर्यायः पीतायाः
