ID	QUESTION	ANSWER	CHOICES	context_0	gpt-4o
14	शुण्ठी कस्य पर्यायः अस्ति? 	सर्वेषाम्	विश्वायाः / महौषधस्य / श्रृङ्गवेरस्य / सर्वेषाम्	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	श्रृङ्गवेरस्य
15	पिप्पली कस्य पर्यायः अस्ति?	सर्वेषाम्	कणायाः / वैदेह्याः / तीक्ष्णतण्डुलायाः / सर्वेषाम्	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	कणायाः
16	पिप्पली कस्य पर्यायः अस्ति? 	सर्वेषाम्	मागध्याः / कृष्णायाः / चपलायाः / सर्वेषाम्	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	मागध्याः
17	मरीचः कस्य पर्यायः अस्ति? 	सर्वेषाम्	कृष्णस्य / धर्मपतनस्य / वेल्लजस्य / सर्वेषाम्	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	कृष्णस्य
18	मरीचः कस्य पर्यायः नास्ति? 	कृष्णायाः	कृष्णायाः / ऊषणस्या / कृष्णस्य / वेल्लजस्य	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	वेल्लजस्य
19	व्योषः कस्य पर्यायः अस्ति? 	सर्वेषाम्	त्रिकटोः / त्र्यूषणस्य / कटुत्रिकस्य / सर्वेषाम्	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	त्रिकटोः
20	चटकाशिरः कस्य पर्यायः अस्ति? 	पिप्पलीमूलः	शुण्ठ्याः / काकानासायाः / पिप्पलीमूलस्य / भल्लातकस्य	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	काकानासायाः
27	अजमोदा कस्य पर्यायः अस्ति? 	सर्वेषाम्	खराश्वस्य / मायूरस्य / ब्रह्मकुशायाः / सर्वेषाम्	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	मायूरस्य
29	कुस्तुम्बरू कस्य पर्यायः अस्ति? 	धान्यकस्य		अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	कुस्तुम्बरू इति चक्रमर्दस्य पर्यायः अस्ति
30	मेथिका कस्य पर्यायः अस्ति? 	सर्वेषाम्	बहुपत्रिकायाः / बहुबीजायाः / बहुपर्ण्याः / सर्वेषाम्	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	बहुपत्रिकायाः
31	मेथिका अधोदत्तेषु कस्य पर्यायः अस्ति? 	सर्वे	ज्योतेः / पीतबीजस्य / मुनिच्छदायाः / सर्वेषाम्	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	पीतबीजस्य
32	पशुमेहनकारिका अनेन शोषणस्य पर्यायः कः अस्ति?  अधोलिखितेषु	चन्द्रशूरः	मेथिका / जीरकम् / चन्द्रशूरः / अजमोदा	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	अजमोदा
33	अधोलिखितेषु हिङ्गुः इति कस्य पर्यायः न अस्ति? 	न कस्यचन	सहस्रवेधेः / रामठस्य / बाल्हीकस्य / न कस्यचन	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	न कस्यचन
36	द्वीपान्तरवचायाः वर्णनं भावप्रकाशस्य कस्मिन् वर्गे कृतम् अस्ति?	हरीतक्यादिवर्गे		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	"द्वीपान्तरवचायाः वर्णनं भावप्रकाशस्य ""मध्यमखण्डे"" कृतम् अस्ति"
37	विडङ्गः अधस्तनेषु कस्य पर्यायः  अस्ति?	सर्वेषाम्	कृमिघ्नस्य / चित्रतण्डुलस्य / जन्तुनाशनस्य / सर्वेषाम्	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	कृमिघ्नस्य
38	तुगाक्षीरी अधस्तनेषु कस्य पर्यायः अस्ति?	वंशलोचनस्य	वंशलोचनस्य / विडंगस्य / द्वीपांतर वचा / लवङ्गस्य	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	वंशलोचनस्य
